[2025-11-27 15:31:56.459] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:01.461] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:06.462] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:11.465] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:16.467] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:21.469] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:26.471] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:31.470] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:36.472] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:41.473] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:46.479] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=17ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:51.477] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:32:56.480] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:01.482] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:06.485] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:11.486] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:16.486] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
